text,joy,sadness,anger,fear,surprise,neutral
"Surprisingly, just leave me alone, i'm angry.",0,0,1,0,0,0
"To be honest, I'm so sorry to hear that.",0,1,0,0,0,0
"Actually, nightmares are haunting me.",0,0,0,1,0,0
"Surprisingly, I will be there in ten minutes.",0,0,0,0,0,1
"Today, the uncertainty is paralyzing.",0,0,0,1,0,0
"Lately, my jaw dropped when i saw it.",0,0,0,0,1,0
"Lately, what a beautiful day to be alive.",1,0,0,0,0,0
"In the morning, the darkness is frightening.",0,0,0,1,0,0
"Finally, unbelievable, just unbelievable.",0,0,0,0,1,0
"Usually, success at last, i'm thrilled!",1,0,0,0,0,0
"Lately, I'm worried sick.",0,0,0,1,0,0
"To be honest, this is a major revelation.",0,0,0,0,1,0
"Usually, my heart is racing, i'm terrified.",0,0,0,1,0,0
"In the morning, I'm afraid of what might happen next.",0,0,0,1,0,0
"Lately, trembling with anxiety.",0,0,0,1,0,0
"Finally, the book is on the table.",0,0,0,0,0,1
"In the morning, It's been a tough day.",0,1,0,0,0,0
"In the morning, panic is setting in.",0,0,0,1,0,0
"Lately, I'm over the moon with joy.",1,0,0,0,0,0
"Finally, It's just one of those days where everything hurts.",0,1,0,0,0,0
"Usually, I feel really down lately.",0,1,0,0,0,0
"To be honest, trembling with anxiety.",0,0,0,1,0,0
"Today, trembling with anxiety.",0,0,0,1,0,0
"Lately, I have a bad feeling about this.",0,0,0,1,0,0
"Surprisingly, Infuriated by the incompetence.",0,0,1,0,0,0
"In the morning, I'm really scared about the future.",0,0,0,1,0,0
"Surprisingly, I am absolutely furious with the service.",0,0,1,0,0,0
"In the morning, the weather is mild today.",0,0,0,0,0,1
"In the morning, I just want to stay in bed and cry.",0,1,0,0,0,0
"To be honest, I'm speechless, what a surprise.",0,0,0,0,1,0
"Surprisingly, feeling quite blue and isolated.",0,1,0,0,0,0
"Finally, I never saw that coming.",0,0,0,0,1,0
"Today, It is what it is.",0,0,0,0,0,1
"Surprisingly, It's been a tough day.",0,1,0,0,0,0
"Surprisingly, everything feels so grey and hopeless.",0,1,0,0,0,0
"Usually, oh my god, i didn't expect that!",0,0,0,0,1,0
"Lately, who would have thought?",0,0,0,0,1,0
"To be honest, nightmares are haunting me.",0,0,0,1,0,0
"To be honest, everything is going perfectly.",1,0,0,0,0,0
"Usually, what a delightful surprise!",1,0,0,0,0,0
"Surprisingly, the temperature remains constant.",0,0,0,0,0,1
"In the morning, I'm pleasantly surprised!",0,0,0,0,1,0
"Lately, this is completely unacceptable.",0,0,1,0,0,0
"Surprisingly, the report is due on monday.",0,0,0,0,0,1
"Today, who would have thought?",0,0,0,0,1,0
"Lately, life is grand!",1,0,0,0,0,0
"Lately, that loud noise startled me.",0,0,0,1,0,0
"Finally, how dare they treat people this way?",0,0,1,0,0,0
"Lately, the book is on the table.",0,0,0,0,0,1
"Usually, heartbroken and lost.",0,1,0,0,0,0
"Finally, I'm pleasantly surprised!",0,0,0,0,1,0
"Usually, the uncertainty is paralyzing.",0,0,0,1,0,0
"To be honest, Infuriated by the incompetence.",0,0,1,0,0,0
"Finally, I'm grinning from ear to ear.",1,0,0,0,0,0
"Finally, a sense of melancholy surrounds me.",0,1,0,0,0,0
"Lately, I'm absolutely stunned.",0,0,0,0,1,0
"Finally, this is so frustrating!",0,0,1,0,0,0
"Finally, stop bothering me right now.",0,0,1,0,0,0
"Usually, deeply saddened by the news.",0,1,0,0,0,0
"Usually, this makes my blood boil.",0,0,1,0,0,0
"To be honest, oh my god, i didn't expect that!",0,0,0,0,1,0
"Lately, what a beautiful day to be alive.",1,0,0,0,0,0
"To be honest, cold shivers down my spine.",0,0,0,1,0,0
"Finally, the meeting started on time.",0,0,0,0,0,1
"In the morning, a constant state of dread.",0,0,0,1,0,0
"To be honest, I'm grinning from ear to ear.",1,0,0,0,0,0
"To be honest, nightmares are haunting me.",0,0,0,1,0,0
"Today, how dare they treat people this way?",0,0,1,0,0,0
"Today, cold shivers down my spine.",0,0,0,1,0,0
"Today, nightmares are haunting me.",0,0,0,1,0,0
"Finally, I'm losing my patience.",0,0,1,0,0,0
"Usually, this makes my blood boil.",0,0,1,0,0,0
"To be honest, It's a very lonely day.",0,1,0,0,0,0
"Actually, I can't believe they did that to me.",0,0,1,0,0,0
"Finally, I just want to stay in bed and cry.",0,1,0,0,0,0
"Usually, I'm losing my patience.",0,0,1,0,0,0
"To be honest, life is grand!",1,0,0,0,0,0
"Today, I am absolutely furious with the service.",0,0,1,0,0,0
"In the morning, everything feels so grey and hopeless.",0,1,0,0,0,0
"Actually, data points were plotted on the graph.",0,0,0,0,0,1
"In the morning, this is so frustrating!",0,0,1,0,0,0
"Actually, Is this for real? I'm shocked!",0,0,0,0,1,0
"Finally, the car is parked in the driveway.",0,0,0,0,0,1
"In the morning, life is grand!",1,0,0,0,0,0
"Finally, Is this for real? I'm shocked!",0,0,0,0,1,0
"Today, I'm afraid of what might happen next.",0,0,0,1,0,0
"Usually, I feel really down lately.",0,1,0,0,0,0
"Surprisingly, that loud noise startled me.",0,0,0,1,0,0
"Surprisingly, I'm afraid of what might happen next.",0,0,0,1,0,0
"In the morning, who would have thought?",0,0,0,0,1,0
"Usually, I'm so sorry to hear that.",0,1,0,0,0,0
"Surprisingly, what a beautiful day to be alive.",1,0,0,0,0,0
"Lately, I'm pleasantly surprised!",0,0,0,0,1,0
"To be honest, I'm absolutely stunned.",0,0,0,0,1,0
"Finally, unbelievable, just unbelievable.",0,0,0,0,1,0
"Lately, I have a bad feeling about this.",0,0,0,1,0,0
"In the morning, I'm seething with rage.",0,0,1,0,0,0
"Surprisingly, this is a major revelation.",0,0,0,0,1,0
"To be honest, trying to keep my head up, but it's hard.",0,1,0,0,0,0
"Surprisingly, how dare they treat people this way?",0,0,1,0,0,0
"Actually, I just want to stay in bed and cry.",0,1,0,0,0,0
"Actually, wow! that's incredible.",0,0,0,0,1,0
"Finally, such a heartwarming moment.",1,0,0,0,0,0
"Finally, the temperature remains constant.",0,0,0,0,0,1
"To be honest, this is so frustrating!",0,0,1,0,0,0
"Usually, I'm losing my patience.",0,0,1,0,0,0
"Finally, the car is parked in the driveway.",0,0,0,0,0,1
"To be honest, I'm over the moon with joy.",1,0,0,0,0,0
"To be honest, this is a total disaster and i'm mad.",0,0,1,0,0,0
"To be honest, that loud noise startled me.",0,0,0,1,0,0
"Usually, the book is on the table.",0,0,0,0,0,1
"In the morning, It's a very lonely day.",0,1,0,0,0,0
"Usually, a sense of melancholy surrounds me.",0,1,0,0,0,0
"Usually, this is a major revelation.",0,0,0,0,1,0
"Finally, that loud noise startled me.",0,0,0,1,0,0
"Lately, It is what it is.",0,0,0,0,0,1
"Finally, this is completely unacceptable.",0,0,1,0,0,0
"In the morning, that loud noise startled me.",0,0,0,1,0,0
"Today, nightmares are haunting me.",0,0,0,1,0,0
"In the morning, Is this for real? I'm shocked!",0,0,0,0,1,0
"In the morning, what a beautiful day to be alive.",1,0,0,0,0,0
"Usually, the car is parked in the driveway.",0,0,0,0,0,1
"Actually, oh my god, i didn't expect that!",0,0,0,0,1,0
"Finally, cold shivers down my spine.",0,0,0,1,0,0
"Lately, stop bothering me right now.",0,0,1,0,0,0
"Finally, the car is parked in the driveway.",0,0,0,0,0,1
"Today, I'm so proud of this achievement.",1,0,0,0,0,0
"Today, trembling with anxiety.",0,0,0,1,0,0
"Actually, I am going to the store.",0,0,0,0,0,1
"Finally, utterly outraged by the lack of respect.",0,0,1,0,0,0
"Lately, how dare they treat people this way?",0,0,1,0,0,0
"Finally, oh my god, i didn't expect that!",0,0,0,0,1,0
"Usually, success at last, i'm thrilled!",1,0,0,0,0,0
"Lately, I can't believe they did that to me.",0,0,1,0,0,0
"In the morning, that's a twist i didn't foresee.",0,0,0,0,1,0
"Finally, the car is parked in the driveway.",0,0,0,0,0,1
"To be honest, I'm really scared about the future.",0,0,0,1,0,0
"Finally, completely blindsided by this.",0,0,0,0,1,0
"In the morning, the meeting started on time.",0,0,0,0,0,1
"Actually, everything feels so grey and hopeless.",0,1,0,0,0,0
"Finally, don't push me any further.",0,0,1,0,0,0
"To be honest, I am so happy today!",1,0,0,0,0,0
"Usually, the book is on the table.",0,0,0,0,0,1
"Lately, oh my god, i didn't expect that!",0,0,0,0,1,0
"Surprisingly, what a beautiful day to be alive.",1,0,0,0,0,0
"Actually, that loud noise startled me.",0,0,0,1,0,0
"Usually, the darkness is frightening.",0,0,0,1,0,0
"Usually, this is a major revelation.",0,0,0,0,1,0
"Finally, I'm worried sick.",0,0,0,1,0,0
"Finally, my heart is racing, i'm terrified.",0,0,0,1,0,0
"Lately, I'm speechless, what a surprise.",0,0,0,0,1,0
"Actually, loneliness is a silent companion.",0,1,0,0,0,0
"Lately, I'm grinning from ear to ear.",1,0,0,0,0,0
"Usually, just leave me alone, i'm angry.",0,0,1,0,0,0
"Usually, I'm grinning from ear to ear.",1,0,0,0,0,0
"Finally, I'm absolutely stunned.",0,0,0,0,1,0
"Finally, feeling quite blue and isolated.",0,1,0,0,0,0
"Lately, I've had enough of this nonsense.",0,0,1,0,0,0
"Today, the darkness is frightening.",0,0,0,1,0,0
"To be honest, heartbroken and lost.",0,1,0,0,0,0
"To be honest, unbelievable, just unbelievable.",0,0,0,0,1,0
"Today, I'm really scared about the future.",0,0,0,1,0,0
"Lately, the meeting started on time.",0,0,0,0,0,1
"Actually, I feel so vulnerable and scared.",0,0,0,1,0,0
"Actually, I'm really scared about the future.",0,0,0,1,0,0
"Today, I'm absolutely stunned.",0,0,0,0,1,0
"Finally, life is grand!",1,0,0,0,0,0
"Finally, pure bliss and happiness.",1,0,0,0,0,0
"Actually, what a delightful surprise!",1,0,0,0,0,0
"Actually, I'm worried sick.",0,0,0,1,0,0
"Usually, I'm so proud of this achievement.",1,0,0,0,0,0
"Lately, I'm seething with rage.",0,0,1,0,0,0
"Today, I am going to the store.",0,0,0,0,0,1
"Lately, the car is parked in the driveway.",0,0,0,0,0,1
"Finally, how dare they treat people this way?",0,0,1,0,0,0
"Surprisingly, oh my god, i didn't expect that!",0,0,0,0,1,0
"Usually, trying to keep my head up, but it's hard.",0,1,0,0,0,0
"Surprisingly, heartbroken and lost.",0,1,0,0,0,0
"Surprisingly, that loud noise startled me.",0,0,0,1,0,0
"Usually, I don't want to go in there alone.",0,0,0,1,0,0
"Today, I am so happy today!",1,0,0,0,0,0
"Today, I'm grinning from ear to ear.",1,0,0,0,0,0
"Actually, utterly outraged by the lack of respect.",0,0,1,0,0,0
"Lately, I miss them so much.",0,1,0,0,0,0
"Actually, who would have thought?",0,0,0,0,1,0
"Surprisingly, I'm so sorry to hear that.",0,1,0,0,0,0
"Lately, that's a twist i didn't foresee.",0,0,0,0,1,0
"To be honest, who would have thought?",0,0,0,0,1,0
"Actually, the darkness is frightening.",0,0,0,1,0,0
"Usually, feeling quite blue and isolated.",0,1,0,0,0,0
"In the morning, I have a bad feeling about this.",0,0,0,1,0,0
"Usually, the darkness is frightening.",0,0,0,1,0,0
"Actually, data points were plotted on the graph.",0,0,0,0,0,1
"Today, I'm so proud of this achievement.",1,0,0,0,0,0
"Lately, Is this for real? I'm shocked!",0,0,0,0,1,0
"Finally, It is what it is.",0,0,0,0,0,1
"Lately, I am absolutely furious with the service.",0,0,1,0,0,0
"To be honest, that loud noise startled me.",0,0,0,1,0,0
"Today, panic is setting in.",0,0,0,1,0,0
"Usually, Is this for real? I'm shocked!",0,0,0,0,1,0
"Lately, life is grand!",1,0,0,0,0,0
"In the morning, this is so frustrating!",0,0,1,0,0,0
"Finally, this is a major revelation.",0,0,0,0,1,0
"To be honest, this is a total disaster and i'm mad.",0,0,1,0,0,0
"Today, I'm pleasantly surprised!",0,0,0,0,1,0
"To be honest, trying to keep my head up, but it's hard.",0,1,0,0,0,0
"Actually, Is this for real? I'm shocked!",0,0,0,0,1,0
"In the morning, I am going to the store.",0,0,0,0,0,1
"Finally, this is a total disaster and i'm mad.",0,0,1,0,0,0
"Today, everything is going perfectly.",1,0,0,0,0,0
"Surprisingly, the book is on the table.",0,0,0,0,0,1
"Lately, I've had enough of this nonsense.",0,0,1,0,0,0
"Actually, I just want to stay in bed and cry.",0,1,0,0,0,0
"Today, simply amazing and unexpected.",0,0,0,0,1,0
"Usually, what a turn of events!",0,0,0,0,1,0
"Finally, everything feels so grey and hopeless.",0,1,0,0,0,0
"Today, I'm losing my patience.",0,0,1,0,0,0
"Surprisingly, I'm so proud of this achievement.",1,0,0,0,0,0
"To be honest, a sense of melancholy surrounds me.",0,1,0,0,0,0
"Lately, the package arrived this morning.",0,0,0,0,0,1
"Surprisingly, completely blindsided by this.",0,0,0,0,1,0
"Usually, I'm really scared about the future.",0,0,0,1,0,0
"Finally, wow! that's incredible.",0,0,0,0,1,0
"Usually, how dare they treat people this way?",0,0,1,0,0,0
"Today, unbelievable, just unbelievable.",0,0,0,0,1,0
"To be honest, I'm over the moon with joy.",1,0,0,0,0,0
"Today, I'm really scared about the future.",0,0,0,1,0,0
"Surprisingly, I never saw that coming.",0,0,0,0,1,0
"Finally, the car is parked in the driveway.",0,0,0,0,0,1
"Lately, It is what it is.",0,0,0,0,0,1
"In the morning, I feel absolutely wonderful.",1,0,0,0,0,0
"Finally, I'm grinning from ear to ear.",1,0,0,0,0,0
"To be honest, this is the best news ever.",1,0,0,0,0,0
"Lately, I'm speechless, what a surprise.",0,0,0,0,1,0
"Lately, trembling with anxiety.",0,0,0,1,0,0
"Actually, this is a major revelation.",0,0,0,0,1,0
"Surprisingly, I feel so vulnerable and scared.",0,0,0,1,0,0
"Lately, panic is setting in.",0,0,0,1,0,0
"Today, this is so frustrating!",0,0,1,0,0,0
"Finally, feeling quite blue and isolated.",0,1,0,0,0,0
"Today, It's just one of those days where everything hurts.",0,1,0,0,0,0
"Today, I'm over the moon with joy.",1,0,0,0,0,0
"Today, simply amazing and unexpected.",0,0,0,0,1,0
"Usually, such a heartwarming moment.",1,0,0,0,0,0
"Finally, It's a very lonely day.",0,1,0,0,0,0
"To be honest, I'm over the moon with joy.",1,0,0,0,0,0
"In the morning, Instructions are followed step by step.",0,0,0,0,0,1
"Today, feeling very grateful and happy.",1,0,0,0,0,0
"To be honest, I'm so sorry to hear that.",0,1,0,0,0,0
"To be honest, life is grand!",1,0,0,0,0,0
"To be honest, I never saw that coming.",0,0,0,0,1,0
"Actually, this is a total disaster and i'm mad.",0,0,1,0,0,0
"Usually, oh my god, i didn't expect that!",0,0,0,0,1,0
"Usually, I'm so sorry to hear that.",0,1,0,0,0,0
"In the morning, It's a very lonely day.",0,1,0,0,0,0
"Today, I feel really down lately.",0,1,0,0,0,0
"Today, It's been a tough day.",0,1,0,0,0,0
"Usually, I feel absolutely wonderful.",1,0,0,0,0,0
"Lately, I feel absolutely wonderful.",1,0,0,0,0,0
"Surprisingly, wow! that's incredible.",0,0,0,0,1,0
"Today, I'm afraid of what might happen next.",0,0,0,1,0,0
"Surprisingly, I'm absolutely stunned.",0,0,0,0,1,0
"To be honest, cold shivers down my spine.",0,0,0,1,0,0
"Usually, oh my god, i didn't expect that!",0,0,0,0,1,0
"In the morning, I feel so vulnerable and scared.",0,0,0,1,0,0
"Lately, I'm so proud of this achievement.",1,0,0,0,0,0
"Surprisingly, I feel so vulnerable and scared.",0,0,0,1,0,0
"Finally, nightmares are haunting me.",0,0,0,1,0,0
"Surprisingly, I'm radiating positivity today.",1,0,0,0,0,0
"Actually, I'm seething with rage.",0,0,1,0,0,0
"Usually, I feel absolutely wonderful.",1,0,0,0,0,0
"Today, who would have thought?",0,0,0,0,1,0
"Usually, panic is setting in.",0,0,0,1,0,0
"Lately, cold shivers down my spine.",0,0,0,1,0,0
"Surprisingly, feeling very grateful and happy.",1,0,0,0,0,0
"To be honest, Instructions are followed step by step.",0,0,0,0,0,1
"To be honest, I'm afraid of what might happen next.",0,0,0,1,0,0
